name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
RPLL,2018-06-11,29,24,25.8,39.5,24,26.8,25.7,99.5,22.1,100,100,rain,,,77.8,55.4,231,,96.9,8,141.1,12.2,5,,2018-06-11T05:26:30,2018-06-11T18:24:43,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2018-06-12,27,25,25.8,31.7,25,26.2,25.8,100,16,100,100,rain,,,,22.3,229.8,,99.5,8.4,116.3,10,4,,2018-06-12T05:26:37,2018-06-12T18:25:00,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2018-06-13,28,25,26,35.4,25,27.9,26,100,19.4,100,100,rain,,,,22.3,232.1,,99,8.2,111.7,9.5,4,,2018-06-13T05:26:45,2018-06-13T18:25:17,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2018-06-14,32,24,27.8,42.2,24,33.6,26.7,94.3,6.6,100,100,rain,,,,22.3,224.6,,96.9,9.2,124.2,10.7,4,,2018-06-14T05:26:53,2018-06-14T18:25:33,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2018-06-15,32,26,28.6,44,26,34.5,26.6,90,4.6,100,100,rain,,,,29.5,220,,87.9,9.7,187.7,16.1,6,,2018-06-15T05:27:02,2018-06-15T18:25:49,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2018-06-16,30,25,27.7,40.2,25,32.9,26.9,95.9,3,100,66.67,rain,,,,33.5,238.2,,92.5,9.6,275,23.7,9,,2018-06-16T05:27:12,2018-06-16T18:26:05,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,RPLL
RPLL,2018-06-17,32,26,28.3,42,26,33.3,26.1,88.9,1.4,100,45.83,rain,,,50,29.5,242.7,,86.2,9.9,141.7,12.2,5,,2018-06-17T05:27:22,2018-06-17T18:26:20,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,RPLL
RPLL,2018-06-18,31,27,28.9,42.2,31,36,26.8,89.2,0.6,100,25,rain,,,,25.9,260.8,,74.3,10,144.2,12.5,5,,2018-06-18T05:27:33,2018-06-18T18:26:35,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,RPLL
RPLL,2018-06-19,33,28,29.8,39.1,34.4,36.7,26.2,82.7,0,0,0,,,,,29.5,260.4,,55.4,10,166.9,14.4,5,,2018-06-19T05:27:44,2018-06-19T18:26:49,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,RPLL
RPLL,2018-06-20,31,26,28.5,44.1,26,35.9,27.7,95.5,5,100,58.33,rain,,,,35.3,257.5,,74.2,9.7,125.5,10.9,4,,2018-06-20T05:27:56,2018-06-20T18:27:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,RPLL
