"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-01",,"80","86","73"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-02",,"80","85","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-03",,"80","87","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-04",,"81",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-05",,"83","90","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-06",,"83","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-07",,"81",,"77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-08",,"83","90","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-09",,"84","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-10",,"82","89","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-11",,"81","85",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-12",,"79","86",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-13",,"80","87",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-14",,"79","87",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-15",,"81","89","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-16",,"79","87",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-17","0.41","79","85","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-18","0.00","82","91","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-19","0.08","81","87","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-20","0.00","81","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-21",,"82","89","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-22","0.00","82","90","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-23","0.00","81","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-24","0.00","80",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-25","0.06","82","90","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-26","0.00","82","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-27","0.33","78","81","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-28","0.10","79","83",
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-29","0.00","82","89","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-30",,"80","88","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-01-31",,"79","84",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-01",,"81","88","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-02",,"80","87",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-03",,"79","87","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-04","0.00","80",,"74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-05",,"78","85",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-06",,"78","85","73"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-07",,"79","85","72"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-08",,"77","83",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-09",,"80","86","71"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-10",,"80","86","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-11","0.00","81","87","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-12","0.00","81","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-13",,"81","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-14",,"80","85","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-15",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-16",,"84","92","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-17",,"84","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-18",,"83","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-19",,"83",,"74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-20",,"84","92","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-21",,"84","92","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-22",,"83","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-23",,"83","91","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-24",,"84",,"74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-25",,"83","91","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-26",,"84","93","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-27",,"82","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-02-28","0.00","84",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-01",,"85","93","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-02",,"86",,"80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-03",,"85","93","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-04",,"85","94","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-05",,"85","92","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-06",,"86","94",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-07",,"85",,"77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-08",,"81",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-09",,"80","86","73"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-10","0.00","80","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-11",,"80","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-12",,"81","89","73"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-13",,"83","91","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-14",,"82",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-15",,"83","92","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-16",,"84","93","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-17",,"84",,"78"
